UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO_TRATOR,CAMINHONETE,CAMIONETA,CHASSI_PLATAFORMA,CICLOMOTOR,MICRO_ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI_REBOQUE,SIDE_CAR,OUTROS,TRATOR_ESTEIRA,TRATOR_RODAS,TRICICLO,UTILITARIO
RS,ACEGUA,5030,2622,0,120,125,814,136,0,2,20,685,38,40,0,177,198,0,7,0,7,0,39
RS,AGUA SANTA,3315,1546,0,271,59,568,117,0,2,13,519,35,23,0,48,61,0,6,0,3,1,43
RS,AGUDO,12587,6832,0,426,149,1523,424,0,2,20,2279,125,84,0,319,256,0,15,1,18,2,112
RS,AJURICABA,6798,3312,0,528,108,1088,336,0,1,30,911,61,34,0,131,151,0,4,0,3,1,99
RS,ALECRIM,4976,2737,0,143,9,534,143,1,1,10,1192,38,41,0,88,8,1,4,0,1,1,24
RS,ALEGRETE,46546,25239,0,1244,384,5544,1738,0,52,83,7959,1384,319,0,1511,536,9,29,0,41,8,466
RS,ALEGRIA,2863,1442,0,129,10,347,111,0,0,5,714,24,28,0,13,14,0,0,0,0,0,26
RS,ALMIRANTE TAMANDARE DO SUL,1810,888,0,148,12,308,62,0,0,16,272,22,7,0,41,13,0,0,0,3,0,18
RS,ALPESTRE,5622,2752,0,228,89,645,125,0,0,22,1313,84,67,0,90,156,0,5,0,0,0,46
RS,ALTO ALEGRE,1542,794,0,136,14,250,40,0,0,7,229,15,7,0,22,14,0,3,0,3,0,8
RS,ALTO FELIZ,2735,1434,0,137,28,299,99,0,1,16,488,53,17,0,69,30,0,2,0,31,1,30
RS,ALVORADA,104754,68339,0,1809,357,4293,4248,6,66,241,19267,1929,605,0,2467,440,3,59,1,81,12,531
RS,AMARAL FERRADOR,4233,2155,0,178,24,344,120,0,1,20,1137,77,28,0,94,37,0,2,0,6,0,10
RS,AMETISTA DO SUL,6622,3235,0,144,26,754,261,1,0,16,1837,86,54,0,72,34,0,2,0,0,1,99
RS,ANDRE DA ROCHA,978,535,0,81,7,174,44,0,1,17,64,3,11,0,19,4,0,3,0,1,1,13
RS,ANTA GORDA,6051,3228,0,336,175,769,184,0,2,31,705,84,18,0,155,268,1,3,0,4,0,88
RS,ANTONIO PRADO,12574,6501,0,782,357,1934,645,0,10,20,1037,194,61,0,251,416,0,16,0,12,2,336
RS,ARAMBARE,2794,1592,0,87,16,252,74,0,4,9,509,44,18,0,118,21,0,11,0,11,0,28
RS,ARARICA,5465,3245,0,141,22,387,203,0,8,12,893,206,22,0,219,19,0,13,0,33,0,42
RS,ARATIBA,5643,3155,0,246,21,762,171,0,0,33,925,89,43,0,109,22,0,7,0,1,0,59
RS,ARROIO DO MEIO,20433,10511,0,868,178,1634,944,0,16,76,3308,1354,76,0,802,227,0,36,0,68,3,332
RS,ARROIO DO PADRE,2480,1206,0,159,24,283,62,0,1,6,599,20,16,0,49,29,0,3,0,13,0,10
RS,ARROIO DO SAL,6888,4087,0,149,16,573,310,0,18,17,878,234,27,0,423,17,2,23,0,12,3,99
RS,ARROIO DO TIGRE,9295,4921,0,415,62,1173,338,0,3,26,1732,177,56,0,186,70,1,8,0,4,3,120
RS,ARROIO DOS RATOS,9418,5754,0,280,69,700,331,0,11,32,1554,151,94,0,269,83,1,10,0,14,5,60
RS,ARROIO GRANDE,13965,7351,0,388,96,1360,420,2,18,42,2844,410,83,0,669,172,0,9,0,18,0,83
RS,ARVOREZINHA,9951,5870,0,685,105,1296,326,0,2,46,986,129,61,0,158,134,0,33,0,12,2,106
RS,AUGUSTO PESTANA,7074,3351,0,666,102,1129,202,0,3,22,1086,82,44,0,180,121,0,10,0,1,0,75
RS,AUREA,3057,1704,0,229,24,453,76,0,0,5,465,18,8,0,18,28,0,0,0,0,1,28
RS,BAGE,83979,48743,0,1646,520,7358,3111,0,53,273,15146,2095,431,0,2739,877,11,61,0,35,16,864
RS,BALNEARIO PINHAL,5927,3799,0,149,7,349,199,0,7,18,838,122,42,0,330,13,1,13,0,1,2,37
RS,BARAO,5342,3086,0,264,40,545,229,0,0,34,705,102,54,0,151,39,0,5,0,12,0,76
RS,BARAO DE COTEGIPE,5715,3092,0,351,85,833,173,0,0,16,633,94,24,0,154,134,0,9,0,2,0,115
RS,BARAO DO TRIUNFO,4629,2062,0,179,7,468,90,0,1,24,1597,37,92,0,45,9,0,1,0,2,0,15
RS,BARRA DO GUARITA,1515,838,0,33,48,104,29,0,1,9,322,49,6,0,18,51,0,1,0,0,0,6
RS,BARRA DO QUARAI,2617,1772,0,37,39,296,88,0,2,8,201,23,15,0,72,47,0,2,0,0,1,14
RS,BARRA DO RIBEIRO,8105,4954,0,269,37,698,349,1,22,19,1028,113,68,0,381,55,0,14,0,28,1,68
RS,BARRA DO RIO AZUL,1323,678,0,61,3,230,28,0,0,11,267,12,13,0,6,2,0,0,0,0,0,12
RS,BARRA FUNDA,2437,1155,0,211,65,358,78,0,0,5,320,33,26,0,56,95,0,5,0,3,0,27
RS,BARRACAO,3805,2346,0,215,31,573,109,0,0,14,334,22,22,0,40,53,0,1,0,2,0,43
RS,BARROS CASSAL,7340,3991,0,262,38,871,179,0,1,40,1629,62,87,0,57,58,0,5,0,18,1,41
RS,BENJAMIN CONSTANT DO SUL,1154,667,0,40,9,117,20,0,0,10,228,7,20,0,13,16,0,0,0,0,0,7
RS,BENTO GONCALVES,99994,57543,0,3609,1044,8623,5665,0,23,363,11478,5060,403,0,2086,1285,2,120,0,105,13,2572
RS,BOA VISTA DAS MISSOES,1958,968,0,121,49,292,52,0,1,5,260,33,13,0,50,83,0,3,0,1,0,27
RS,BOA VISTA DO BURICA,7019,3300,0,364,89,723,252,0,3,15,1525,307,42,0,160,124,0,11,0,5,0,99
RS,BOA VISTA DO CADEADO,1803,729,0,201,28,392,48,0,0,9,277,6,21,0,38,36,0,3,0,3,0,12
RS,BOA VISTA DO INCRA,1958,952,0,146,26,340,49,0,1,5,308,17,13,0,44,38,1,2,0,1,1,14
RS,BOA VISTA DO SUL,2671,1303,0,389,83,352,60,0,1,14,245,45,17,0,39,87,0,2,0,8,1,25
RS,BOM JESUS,7465,4422,0,458,67,1113,316,0,1,70,622,24,87,0,161,48,0,8,0,7,0,61
RS,BOM PRINCIPIO,12500,7094,0,592,135,1204,646,0,4,43,1506,276,57,0,520,144,0,21,2,36,0,220
RS,BOM PROGRESSO,1712,909,0,68,6,150,52,0,0,11,444,30,8,0,23,6,0,0,0,0,0,5
RS,BOM RETIRO DO SUL,10263,5852,0,266,74,684,401,0,23,22,1955,418,53,0,318,89,0,19,0,11,2,76
RS,BOQUEIRAO DO LEAO,5581,2999,0,207,9,563,130,0,1,19,1392,66,24,0,89,14,0,7,0,21,0,40
RS,BOSSOROCA,3989,2101,0,282,36,643,113,0,9,16,528,50,20,0,115,36,0,3,0,2,2,33
RS,BOZANO,1812,797,0,215,21,363,43,0,0,9,259,18,8,0,34,32,0,1,0,2,0,10
RS,BRAGA,2635,1387,0,139,19,216,51,0,2,7,644,77,25,0,30,27,0,3,0,0,0,8
RS,BROCHIER,5099,2504,0,367,33,394,121,0,2,15,1197,202,33,0,154,27,0,9,0,4,0,37
RS,BUTIA,13482,7975,0,475,237,874,579,0,19,60,1851,402,164,0,414,313,1,10,2,28,1,77
RS,CACAPAVA DO SUL,24785,14449,0,941,282,2717,942,1,174,98,3216,278,236,0,905,336,1,27,1,21,3,157
RS,CACEQUI,6294,3622,0,224,42,713,222,0,7,22,917,103,41,0,258,68,0,2,0,6,3,44
RS,CACHOEIRA DO SUL,60694,35802,0,1552,361,5331,2304,0,41,159,9215,2119,256,1,2352,485,1,56,0,74,5,580
RS,CACHOEIRINHA,96105,61681,0,2562,717,5506,4382,1,108,259,13139,2049,535,1,3111,657,0,101,0,74,7,1215
RS,CACIQUE DOBLE,3178,1772,0,167,48,505,81,0,0,9,388,22,20,0,53,79,0,5,0,0,0,29
RS,CAIBATE,4250,2267,0,208,117,643,99,0,0,9,563,84,11,0,97,116,0,1,0,2,0,33
RS,CAICARA,4096,1862,0,151,36,435,101,0,0,11,1178,143,22,0,62,56,0,3,0,0,1,35
RS,CAMAQUA,51402,27045,0,1697,692,4322,1673,0,90,89,10213,2475,285,0,1406,773,10,59,0,52,8,513
RS,CAMARGO,2787,1451,0,267,56,476,80,0,2,7,243,27,23,0,55,72,0,4,0,0,0,24
RS,CAMBARA DO SUL,4138,2301,0,292,46,578,174,0,1,15,343,31,55,0,154,66,0,14,0,3,0,65
RS,CAMPESTRE DA SERRA,2465,1157,0,239,89,406,107,0,1,5,227,27,13,0,60,120,0,2,0,2,0,10
RS,CAMPINA DAS MISSOES,5298,2652,0,243,39,574,216,0,6,11,1185,73,44,0,138,43,0,8,0,3,0,63
RS,CAMPINAS DO SUL,4730,2642,0,272,84,674,159,0,0,22,509,90,23,0,90,83,0,3,0,0,1,78
